EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd
P53007	Homo sapiens	Metazoa	311	None	None
P53367	Homo sapiens	Metazoa	373	None	None
P53384	Homo sapiens	Metazoa	320	None	None
P53539	Homo sapiens	Metazoa	338	None	None
P53673	Homo sapiens	Metazoa	196	None	None
P53779	Homo sapiens	Metazoa	464	None	None
P53803	Homo sapiens	Metazoa	58	None	None
P53805	Homo sapiens	Metazoa	252	None	None
P53999	Homo sapiens	Metazoa	127	None	None
P54136	Homo sapiens	Metazoa	660	None	None
P54578	Homo sapiens	Metazoa	494	None	None
P54709	Homo sapiens	Metazoa	279	None	None
P54750	Homo sapiens	Metazoa	535	None	None
P54851	Homo sapiens	Metazoa	167	None	None
P54886	Homo sapiens	Metazoa	795	None	None
P55010	Homo sapiens	Metazoa	431	None	None
P55011	Homo sapiens	Metazoa	1212	None	None
P55073	Homo sapiens	Metazoa	304	None	None
P55087	Homo sapiens	Metazoa	323	None	None
P55197	Homo sapiens	Metazoa	1068	None	None
P55771	Homo sapiens	Metazoa	341	None	None
P55789	Homo sapiens	Metazoa	205	None	None
P55795	Homo sapiens	Metazoa	449	None	None
P55957	Homo sapiens	Metazoa	195	None	None
P56177	Homo sapiens	Metazoa	255	None	None
P56180	Homo sapiens	Metazoa	551	None	None
P56192	Homo sapiens	Metazoa	900	None	None
P56378	Homo sapiens	Metazoa	58	None	None
P56539	Homo sapiens	Metazoa	151	None	None
P56597	Homo sapiens	Metazoa	212	None	None
P56693	Homo sapiens	Metazoa	466	None	None
P56696	Homo sapiens	Metazoa	695	None	None
P56715	Homo sapiens	Metazoa	2156	None	None
P56746	Homo sapiens	Metazoa	228	None	None
P56747	Homo sapiens	Metazoa	220	None	None
P57059	Homo sapiens	Metazoa	783	None	None
P57071	Homo sapiens	Metazoa	1141	None	None
P57082	Homo sapiens	Metazoa	545	None	None
P57682	Homo sapiens	Metazoa	345	None	None
P57727	Homo sapiens	Metazoa	454	None	None
P57729	Homo sapiens	Metazoa	211	None	None
P57740	Homo sapiens	Metazoa	925	None	None
P58005	Homo sapiens	Metazoa	492	None	None
P58012	Homo sapiens	Metazoa	376	None	None
P58340	Homo sapiens	Metazoa	268	None	None
P59046	Homo sapiens	Metazoa	1061	None	None
P59103	Homo sapiens	Metazoa	153	None	None
P59780	Homo sapiens	Metazoa	193	None	None
P60006	Homo sapiens	Metazoa	121	None	None
P60014	Homo sapiens	Metazoa	251	None	None
P60410	Homo sapiens	Metazoa	259	None	None
P60411	Homo sapiens	Metazoa	292	None	None
P60866	Homo sapiens	Metazoa	119	None	None
P60896	Homo sapiens	Metazoa	70	None	None
P60953	Homo sapiens	Metazoa	191	None	None
P60981	Homo sapiens	Metazoa	165	None	None
P61011	Homo sapiens	Metazoa	504	None	None
P61073	Homo sapiens	Metazoa	352	None	None
P61077	Homo sapiens	Metazoa	147	None	None
P61221	Homo sapiens	Metazoa	599	None	None
P61254	Homo sapiens	Metazoa	145	None	None
P61353	Homo sapiens	Metazoa	136	None	None
P61513	Homo sapiens	Metazoa	92	None	None
P61960	Homo sapiens	Metazoa	85	None	None
P61978	Homo sapiens	Metazoa	463	None	None
P61981	Homo sapiens	Metazoa	247	None	None
P62079	Homo sapiens	Metazoa	268	None	None
P62249	Homo sapiens	Metazoa	146	None	None
P62256	Homo sapiens	Metazoa	183	None	None
P62273	Homo sapiens	Metazoa	56	None	None
P62306	Homo sapiens	Metazoa	86	None	None
P62312	Homo sapiens	Metazoa	80	None	None
P62328	Homo sapiens	Metazoa	44	None	None
P62753	Homo sapiens	Metazoa	249	None	None
P62829	Homo sapiens	Metazoa	140	None	None
P62847	Homo sapiens	Metazoa	133	None	None
P62857	Homo sapiens	Metazoa	69	None	None
P62875	Homo sapiens	Metazoa	67	None	None
P62877	Homo sapiens	Metazoa	108	None	None
P62891	Homo sapiens	Metazoa	51	None	None
P62910	Homo sapiens	Metazoa	135	None	None
P62942	Homo sapiens	Metazoa	108	None	None
P63165	Homo sapiens	Metazoa	101	None	None
P63211	Homo sapiens	Metazoa	74	None	None
P63218	Homo sapiens	Metazoa	68	None	None
P63267	Homo sapiens	Metazoa	376	None	None
P63279	Homo sapiens	Metazoa	158	None	None
P68106	Homo sapiens	Metazoa	108	None	None
P68133	Homo sapiens	Metazoa	377	None	None
P69891	Homo sapiens	Metazoa	147	None	None
P78316	Homo sapiens	Metazoa	857	None	None
P78345	Homo sapiens	Metazoa	283	None	None
P78356	Homo sapiens	Metazoa	416	None	None
P78380	Homo sapiens	Metazoa	273	None	None
P78426	Homo sapiens	Metazoa	367	None	None
P78524	Homo sapiens	Metazoa	1137	None	None
P78540	Homo sapiens	Metazoa	354	None	None
P78545	Homo sapiens	Metazoa	371	None	None
P78563	Homo sapiens	Metazoa	741	None	None
P80365	Homo sapiens	Metazoa	405	None	None
P81274	Homo sapiens	Metazoa	684	None	None
P82251	Homo sapiens	Metazoa	487	None	None
P83436	Homo sapiens	Metazoa	770	None	None
P83731	Homo sapiens	Metazoa	157	None	None
P83881	Homo sapiens	Metazoa	106	None	None
P84074	Homo sapiens	Metazoa	193	None	None
P84090	Homo sapiens	Metazoa	104	None	None
P85037	Homo sapiens	Metazoa	733	None	None
P85299	Homo sapiens	Metazoa	388	None	None
P98171	Homo sapiens	Metazoa	946	None	None
P98174	Homo sapiens	Metazoa	961	None	None
P98175	Homo sapiens	Metazoa	930	None	None
P98182	Homo sapiens	Metazoa	395	None	None
P98187	Homo sapiens	Metazoa	520	None	None
P98196	Homo sapiens	Metazoa	1134	None	None
Q00532	Homo sapiens	Metazoa	357	None	None
Q00535	Homo sapiens	Metazoa	292	None	None
Q00536	Homo sapiens	Metazoa	496	None	None
Q00610	Homo sapiens	Metazoa	1675	None	None
Q00722	Homo sapiens	Metazoa	1185	None	None
Q00973	Homo sapiens	Metazoa	533	None	None
Q00975	Homo sapiens	Metazoa	2339	None	None
Q00978	Homo sapiens	Metazoa	393	None	None
Q00987	Homo sapiens	Metazoa	491	None	None
Q01085	Homo sapiens	Metazoa	375	None	None
Q01105	Homo sapiens	Metazoa	290	None	None
Q01167	Homo sapiens	Metazoa	660	None	None
Q01433	Homo sapiens	Metazoa	825	None	None
Q01449	Homo sapiens	Metazoa	175	None	None
Q01628	Homo sapiens	Metazoa	133	None	None
Q01658	Homo sapiens	Metazoa	176	None	None
Q01664	Homo sapiens	Metazoa	338	None	None
Q01850	Homo sapiens	Metazoa	454	None	None
Q02156	Homo sapiens	Metazoa	737	None	None
Q02161	Homo sapiens	Metazoa	417	None	None
Q02218	Homo sapiens	Metazoa	1023	None	None
Q02535	Homo sapiens	Metazoa	119	None	None
Q02556	Homo sapiens	Metazoa	426	None	None
Q02577	Homo sapiens	Metazoa	135	None	None
Q02750	Homo sapiens	Metazoa	393	None	None
Q02930	Homo sapiens	Metazoa	508	None	None
Q02952	Homo sapiens	Metazoa	1782	None	None
Q03013	Homo sapiens	Metazoa	218	None	None
Q03052	Homo sapiens	Metazoa	451	None	None
Q03111	Homo sapiens	Metazoa	559	None	None
Q03188	Homo sapiens	Metazoa	943	None	None
Q03393	Homo sapiens	Metazoa	145	None	None
Q03426	Homo sapiens	Metazoa	396	None	None
Q03468	Homo sapiens	Metazoa	1493	None	None
Q03519	Homo sapiens	Metazoa	686	None	None
Q04206	Homo sapiens	Metazoa	551	None	None
Q04695	Homo sapiens	Metazoa	432	None	None
Q04724	Homo sapiens	Metazoa	770	None	None
Q05066	Homo sapiens	Metazoa	204	None	None
Q05084	Homo sapiens	Metazoa	483	None	None
Q05397	Homo sapiens	Metazoa	1052	None	None
Q05655	Homo sapiens	Metazoa	676	None	None
Q05932	Homo sapiens	Metazoa	587	None	None
Q05D60	Homo sapiens	Metazoa	604	None	None
Q06055	Homo sapiens	Metazoa	141	None	None
Q06187	Homo sapiens	Metazoa	659	None	None
Q06190	Homo sapiens	Metazoa	1150	None	None
Q06547	Homo sapiens	Metazoa	395	None	None
Q06609	Homo sapiens	Metazoa	339	None	None
Q06643	Homo sapiens	Metazoa	244	None	None
Q07157	Homo sapiens	Metazoa	1748	None	None
Q07343	Homo sapiens	Metazoa	736	None	None
Q07352	Homo sapiens	Metazoa	338	None	None
Q07617	Homo sapiens	Metazoa	926	None	None
Q07869	Homo sapiens	Metazoa	468	None	None
Q08116	Homo sapiens	Metazoa	209	None	None
Q08188	Homo sapiens	Metazoa	693	None	None
Q08493	Homo sapiens	Metazoa	712	None	None
Q08495	Homo sapiens	Metazoa	405	None	None
Q08881	Homo sapiens	Metazoa	620	None	None
Q08999	Homo sapiens	Metazoa	1139	None	None
Q08AG7	Homo sapiens	Metazoa	82	None	None
Q08AH1	Homo sapiens	Metazoa	577	None	None
Q08J23	Homo sapiens	Metazoa	767	None	None
Q09328	Homo sapiens	Metazoa	741	None	None
Q09472	Homo sapiens	Metazoa	2414	None	None
Q0D2I5	Homo sapiens	Metazoa	559	None	None
Q0VAQ4	Homo sapiens	Metazoa	97	None	None
Q0VDD7	Homo sapiens	Metazoa	668	None	None
Q0VDD8	Homo sapiens	Metazoa	3507	None	None
Q0VG06	Homo sapiens	Metazoa	881	None	None
Q10472	Homo sapiens	Metazoa	559	None	None
Q11128	Homo sapiens	Metazoa	374	None	None
Q11201	Homo sapiens	Metazoa	340	None	None
Q11203	Homo sapiens	Metazoa	375	None	None
Q12792	Homo sapiens	Metazoa	350	None	None
Q12840	Homo sapiens	Metazoa	1032	None	None
Q12851	Homo sapiens	Metazoa	820	None	None
Q12894	Homo sapiens	Metazoa	442	None	None
Q12905	Homo sapiens	Metazoa	390	None	None
Q12906	Homo sapiens	Metazoa	894	None	None
Q12929	Homo sapiens	Metazoa	822	None	None
Q12934	Homo sapiens	Metazoa	665	None	None
Q12959	Homo sapiens	Metazoa	904	None	None
Q12972	Homo sapiens	Metazoa	351	None	None
Q12979	Homo sapiens	Metazoa	859	None	None
Q12983	Homo sapiens	Metazoa	194	None	None
Q13009	Homo sapiens	Metazoa	1591	None	None
Q13023	Homo sapiens	Metazoa	2319	None	None
Q13029	Homo sapiens	Metazoa	1718	None	None
Q13049	Homo sapiens	Metazoa	653	None	None
Q13084	Homo sapiens	Metazoa	256	None	None
Q13085	Homo sapiens	Metazoa	2346	None	None
Q13118	Homo sapiens	Metazoa	480	None	None
Q13126	Homo sapiens	Metazoa	283	None	None
Q13127	Homo sapiens	Metazoa	1097	None	None
Q13137	Homo sapiens	Metazoa	446	None	None
Q13153	Homo sapiens	Metazoa	545	None	None
Q13155	Homo sapiens	Metazoa	320	None	None
Q13164	Homo sapiens	Metazoa	816	None	None
Q13185	Homo sapiens	Metazoa	183	None	None
Q13188	Homo sapiens	Metazoa	491	None	None
Q13241	Homo sapiens	Metazoa	179	None	None
Q13247	Homo sapiens	Metazoa	344	None	None
Q13285	Homo sapiens	Metazoa	461	None	None
Q13287	Homo sapiens	Metazoa	307	None	None
Q13303	Homo sapiens	Metazoa	367	None	None
Q13304	Homo sapiens	Metazoa	367	None	None
Q13342	Homo sapiens	Metazoa	867	None	None
Q13363	Homo sapiens	Metazoa	440	None	None
Q13394	Homo sapiens	Metazoa	359	None	None
Q13395	Homo sapiens	Metazoa	1621	None	None
Q13422	Homo sapiens	Metazoa	519	None	None
Q13423	Homo sapiens	Metazoa	1086	None	None
Q13425	Homo sapiens	Metazoa	540	None	None
Q13426	Homo sapiens	Metazoa	336	None	None
Q13469	Homo sapiens	Metazoa	925	None	None
Q13492	Homo sapiens	Metazoa	652	None	None
Q13496	Homo sapiens	Metazoa	603	None	None
Q13501	Homo sapiens	Metazoa	440	None	None
Q13515	Homo sapiens	Metazoa	415	None	None
Q13526	Homo sapiens	Metazoa	163	None	None
Q13541	Homo sapiens	Metazoa	118	None	None
Q13547	Homo sapiens	Metazoa	482	None	None
Q13555	Homo sapiens	Metazoa	558	None	None
Q13561	Homo sapiens	Metazoa	401	None	None
Q13569	Homo sapiens	Metazoa	410	None	None
Q13585	Homo sapiens	Metazoa	617	None	None
Q13625	Homo sapiens	Metazoa	1128	None	None
Q13636	Homo sapiens	Metazoa	195	None	None
Q13795	Homo sapiens	Metazoa	201	None	None
Q13829	Homo sapiens	Metazoa	316	None	None
Q13888	Homo sapiens	Metazoa	395	None	None
Q13951	Homo sapiens	Metazoa	182	None	None
Q13972	Homo sapiens	Metazoa	1273	None	None
Q14028	Homo sapiens	Metazoa	1251	None	None
Q14032	Homo sapiens	Metazoa	418	None	None
Q14103	Homo sapiens	Metazoa	355	None	None
Q14119	Homo sapiens	Metazoa	521	None	None
Q14123	Homo sapiens	Metazoa	709	None	None
Q14134	Homo sapiens	Metazoa	588	None	None
Q14137	Homo sapiens	Metazoa	746	None	None
Q14145	Homo sapiens	Metazoa	624	None	None
Q14181	Homo sapiens	Metazoa	598	None	None
Q14190	Homo sapiens	Metazoa	667	None	None
Q14194	Homo sapiens	Metazoa	572	None	None
Q14197	Homo sapiens	Metazoa	206	None	None
Q14202	Homo sapiens	Metazoa	1370	None	None
Q14204	Homo sapiens	Metazoa	4646	None	None
Q14232	Homo sapiens	Metazoa	305	None	None
Q14331	Homo sapiens	Metazoa	258	None	None
Q14397	Homo sapiens	Metazoa	625	None	None
Q14442	Homo sapiens	Metazoa	188	None	None
Q14500	Homo sapiens	Metazoa	433	None	None
Q14526	Homo sapiens	Metazoa	733	None	None
Q14532	Homo sapiens	Metazoa	448	None	None
Q14534	Homo sapiens	Metazoa	574	None	None
Q14676	Homo sapiens	Metazoa	2089	None	None
Q14678	Homo sapiens	Metazoa	1352	None	None
Q14746	Homo sapiens	Metazoa	738	None	None
Q14789	Homo sapiens	Metazoa	3259	None	None
Q147X3	Homo sapiens	Metazoa	362	None	None
Q14814	Homo sapiens	Metazoa	521	None	None
Q14916	Homo sapiens	Metazoa	467	None	None
Q14966	Homo sapiens	Metazoa	1978	None	None
Q14974	Homo sapiens	Metazoa	876	None	None
Q14990	Homo sapiens	Metazoa	250	None	None
Q14994	Homo sapiens	Metazoa	352	None	None
Q14CB8	Homo sapiens	Metazoa	494	None	None
Q14CN4	Homo sapiens	Metazoa	511	None	None
Q14CS0	Homo sapiens	Metazoa	331	None	None
Q14CZ7	Homo sapiens	Metazoa	662	None	None
Q15004	Homo sapiens	Metazoa	111	None	None
Q15007	Homo sapiens	Metazoa	396	None	None
Q15019	Homo sapiens	Metazoa	361	None	None
Q15047	Homo sapiens	Metazoa	1291	None	None
Q15052	Homo sapiens	Metazoa	776	None	None
Q15061	Homo sapiens	Metazoa	677	None	None
Q15078	Homo sapiens	Metazoa	307	None	None
Q15102	Homo sapiens	Metazoa	231	None	None
Q15111	Homo sapiens	Metazoa	1095	None	None
Q15119	Homo sapiens	Metazoa	407	None	None
Q15124	Homo sapiens	Metazoa	567	None	None
Q15208	Homo sapiens	Metazoa	465	None	None
Q15286	Homo sapiens	Metazoa	201	None	None
Q15306	Homo sapiens	Metazoa	451	None	None
Q15311	Homo sapiens	Metazoa	655	None	None
Q15323	Homo sapiens	Metazoa	416	None	None
Q15398	Homo sapiens	Metazoa	846	None	None
Q15406	Homo sapiens	Metazoa	480	None	None
Q15413	Homo sapiens	Metazoa	4870	None	None
Q15417	Homo sapiens	Metazoa	329	None	None
Q15427	Homo sapiens	Metazoa	424	None	None
Q15431	Homo sapiens	Metazoa	976	None	None
Q15436	Homo sapiens	Metazoa	765	None	None
Q15438	Homo sapiens	Metazoa	398	None	None
Q15464	Homo sapiens	Metazoa	509	None	None
Q15466	Homo sapiens	Metazoa	257	None	None
Q15468	Homo sapiens	Metazoa	1287	None	None
Q15545	Homo sapiens	Metazoa	349	None	None
Q15554	Homo sapiens	Metazoa	542	None	None
Q15560	Homo sapiens	Metazoa	299	None	None
Q15583	Homo sapiens	Metazoa	401	None	None
Q15596	Homo sapiens	Metazoa	1464	None	None
Q15714	Homo sapiens	Metazoa	1073	None	None
Q15758	Homo sapiens	Metazoa	541	None	None
Q15784	Homo sapiens	Metazoa	382	None	None
Q15788	Homo sapiens	Metazoa	1441	None	None
Q15796	Homo sapiens	Metazoa	467	None	None
Q15797	Homo sapiens	Metazoa	465	None	None
Q15833	Homo sapiens	Metazoa	593	None	None
Q15842	Homo sapiens	Metazoa	424	None	None
Q15843	Homo sapiens	Metazoa	81	None	None
Q15853	Homo sapiens	Metazoa	346	None	None
Q15858	Homo sapiens	Metazoa	1988	None	None
Q15907	Homo sapiens	Metazoa	218	None	None
Q15973	Homo sapiens	Metazoa	351	None	None
Q16186	Homo sapiens	Metazoa	407	None	None
Q16206	Homo sapiens	Metazoa	610	None	None
Q16385	Homo sapiens	Metazoa	188	None	None
Q16512	Homo sapiens	Metazoa	942	None	None
Q16518	Homo sapiens	Metazoa	533	None	None
Q16534	Homo sapiens	Metazoa	295	None	None
Q16585	Homo sapiens	Metazoa	318	None	None
Q16612	Homo sapiens	Metazoa	68	None	None
Q16633	Homo sapiens	Metazoa	256	None	None
Q16635	Homo sapiens	Metazoa	262	None	None
Q16649	Homo sapiens	Metazoa	462	None	None
Q16670	Homo sapiens	Metazoa	478	None	None
Q16676	Homo sapiens	Metazoa	465	None	None
Q16690	Homo sapiens	Metazoa	384	None	None
Q16719	Homo sapiens	Metazoa	465	None	None
Q16720	Homo sapiens	Metazoa	1220	None	None
Q16760	Homo sapiens	Metazoa	1214	None	None
Q16763	Homo sapiens	Metazoa	222	None	None
Q16774	Homo sapiens	Metazoa	197	None	None
Q16829	Homo sapiens	Metazoa	419	None	None
Q16842	Homo sapiens	Metazoa	350	None	None
Q16850	Homo sapiens	Metazoa	509	None	None
Q16854	Homo sapiens	Metazoa	277	None	None
Q18PE1	Homo sapiens	Metazoa	504	None	None
Q1EHB4	Homo sapiens	Metazoa	618	None	None
Q1HG43	Homo sapiens	Metazoa	343	None	None
Q1HG44	Homo sapiens	Metazoa	320	None	None
Q1MX18	Homo sapiens	Metazoa	579	None	None
Q2KHN1	Homo sapiens	Metazoa	245	None	None
Q2LD37	Homo sapiens	Metazoa	5005	None	None
Q2M1K9	Homo sapiens	Metazoa	1284	None	None
Q2M2I8	Homo sapiens	Metazoa	961	None	None
Q2M3G0	Homo sapiens	Metazoa	1257	None	None
Q2M3T9	Homo sapiens	Metazoa	481	None	None
Q2NKX8	Homo sapiens	Metazoa	1250	None	None
Q2Q1W2	Homo sapiens	Metazoa	868	None	None
Q2TAL8	Homo sapiens	Metazoa	776	None	None
Q2TAY7	Homo sapiens	Metazoa	513	None	None
Q2TAZ0	Homo sapiens	Metazoa	1938	None	None
Q2VIQ3	Homo sapiens	Metazoa	1234	None	None
Q2YD98	Homo sapiens	Metazoa	709	None	None
Q32MK0	Homo sapiens	Metazoa	819	None	None
Q32MQ0	Homo sapiens	Metazoa	723	None	None
Q32MZ4	Homo sapiens	Metazoa	808	None	None
Q32NB8	Homo sapiens	Metazoa	556	None	None
Q3KNW5	Homo sapiens	Metazoa	377	None	None
Q3KP44	Homo sapiens	Metazoa	614	None	None
Q3KQV3	Homo sapiens	Metazoa	632	None	None
Q3KRA9	Homo sapiens	Metazoa	238	None	None
Q3LI70	Homo sapiens	Metazoa	58	None	None
Q3MHD2	Homo sapiens	Metazoa	195	None	None
Q3MIR4	Homo sapiens	Metazoa	351	None	None
Q3MJ16	Homo sapiens	Metazoa	868	None	None
Q3MJ62	Homo sapiens	Metazoa	389	None	None
Q3SY69	Homo sapiens	Metazoa	923	None	None
Q3SYB3	Homo sapiens	Metazoa	417	None	None
Q3SYC2	Homo sapiens	Metazoa	334	None	None
Q3ZCQ8	Homo sapiens	Metazoa	353	None	None
Q460N5	Homo sapiens	Metazoa	1801	None	None
Q494R4	Homo sapiens	Metazoa	210	None	None
Q496A3	Homo sapiens	Metazoa	300	None	None
Q49MI3	Homo sapiens	Metazoa	558	None	None
Q4G0P3	Homo sapiens	Metazoa	5121	None	None
Q4KMQ1	Homo sapiens	Metazoa	711	None	None
Q4L180	Homo sapiens	Metazoa	1135	None	None
Q4LDR2	Homo sapiens	Metazoa	81	None	None
Q4VCS5	Homo sapiens	Metazoa	1084	None	None
Q52LW3	Homo sapiens	Metazoa	1261	None	None
Q53EV4	Homo sapiens	Metazoa	343	None	None
Q53FD0	Homo sapiens	Metazoa	456	None	None
Q53G59	Homo sapiens	Metazoa	568	None	None
Q53GA4	Homo sapiens	Metazoa	152	None	None
Q53GD3	Homo sapiens	Metazoa	710	None	None
Q53H12	Homo sapiens	Metazoa	422	None	None
Q53H47	Homo sapiens	Metazoa	684	None	None
Q53QZ3	Homo sapiens	Metazoa	475	None	None
Q53T94	Homo sapiens	Metazoa	588	None	None
Q562E7	Homo sapiens	Metazoa	1941	None	None
Q56A73	Homo sapiens	Metazoa	249	None	None
Q56NI9	Homo sapiens	Metazoa	601	None	None
Q587J8	Homo sapiens	Metazoa	217	None	None
Q58A45	Homo sapiens	Metazoa	887	None	None
Q58WW2	Homo sapiens	Metazoa	860	None	None
Q5BJH2	Homo sapiens	Metazoa	165	None	None
Q5BKX5	Homo sapiens	Metazoa	351	None	None
Q5BKX8	Homo sapiens	Metazoa	364	None	None
Q5BKZ1	Homo sapiens	Metazoa	582	None	None
Q5BN46	Homo sapiens	Metazoa	136	None	None
Q5D862	Homo sapiens	Metazoa	2391	None	None
Q5EB52	Homo sapiens	Metazoa	335	None	None
Q5EBL8	Homo sapiens	Metazoa	140	None	None
Q5EE01	Homo sapiens	Metazoa	88	None	None
Q5F1R6	Homo sapiens	Metazoa	531	None	None
Q5H8A4	Homo sapiens	Metazoa	983	None	None
Q5J8M3	Homo sapiens	Metazoa	183	None	None
Q5JRX3	Homo sapiens	Metazoa	1037	None	None
Q5JSL3	Homo sapiens	Metazoa	2073	None	None
Q5JTZ9	Homo sapiens	Metazoa	985	None	None
Q5JUK2	Homo sapiens	Metazoa	328	None	None
Q5KSL6	Homo sapiens	Metazoa	1271	None	None
Q5M8T2	Homo sapiens	Metazoa	416	None	None
Q5MNZ6	Homo sapiens	Metazoa	344	None	None
Q5PRF9	Homo sapiens	Metazoa	694	None	None
Q5QGT7	Homo sapiens	Metazoa	225	None	None
Q5RI15	Homo sapiens	Metazoa	118	None	None
Q5SNT2	Homo sapiens	Metazoa	666	None	None
Q5SR56	Homo sapiens	Metazoa	506	None	None
Q5ST30	Homo sapiens	Metazoa	1063	None	None
Q5SW24	Homo sapiens	Metazoa	774	None	None
Q5SXM2	Homo sapiens	Metazoa	1469	None	None
Q5SY16	Homo sapiens	Metazoa	702	None	None
Q5SZL2	Homo sapiens	Metazoa	805	None	None
Q5T230	Homo sapiens	Metazoa	341	None	None
Q5T280	Homo sapiens	Metazoa	376	None	None
Q5T2D3	Homo sapiens	Metazoa	398	None	None
Q5T447	Homo sapiens	Metazoa	861	None	None
Q5T5B0	Homo sapiens	Metazoa	92	None	None
Q5T7P2	Homo sapiens	Metazoa	110	None	None
Q5TA82	Homo sapiens	Metazoa	110	None	None
Q5TAB7	Homo sapiens	Metazoa	128	None	None
Q5TAQ9	Homo sapiens	Metazoa	597	None	None
Q5TBA9	Homo sapiens	Metazoa	3013	None	None
Q5TCY1	Homo sapiens	Metazoa	1321	None	None
Q5TCZ1	Homo sapiens	Metazoa	1133	None	None
Q5TEJ8	Homo sapiens	Metazoa	643	None	None
Q5TGZ0	Homo sapiens	Metazoa	78	None	None
Q5THJ4	Homo sapiens	Metazoa	4388	None	None
Q5U5X0	Homo sapiens	Metazoa	104	None	None
Q5U5Z8	Homo sapiens	Metazoa	902	None	None
Q5UIP0	Homo sapiens	Metazoa	2472	None	None
Q5VIR6	Homo sapiens	Metazoa	832	None	None
Q5VST6	Homo sapiens	Metazoa	288	None	None
Q5VSY0	Homo sapiens	Metazoa	366	None	None
Q5VT25	Homo sapiens	Metazoa	1732	None	None
Q5VT52	Homo sapiens	Metazoa	1461	None	None
Q5VV67	Homo sapiens	Metazoa	1664	None	None
Q5W0B1	Homo sapiens	Metazoa	726	None	None
Q5W111	Homo sapiens	Metazoa	196	None	None
Q5XUX0	Homo sapiens	Metazoa	539	None	None
Q63HN8	Homo sapiens	Metazoa	5207	None	None
Q63HQ0	Homo sapiens	Metazoa	302	None	None
Q63HR2	Homo sapiens	Metazoa	1409	None	None
Q66K64	Homo sapiens	Metazoa	600	None	None
Q68CZ1	Homo sapiens	Metazoa	1315	None	None
Q68CZ2	Homo sapiens	Metazoa	1445	None	None
Q68G75	Homo sapiens	Metazoa	181	None	None
Q695T7	Homo sapiens	Metazoa	634	None	None
Q69YG0	Homo sapiens	Metazoa	159	None	None
Q6A162	Homo sapiens	Metazoa	431	None	None
Q6AZY7	Homo sapiens	Metazoa	606	None	None
Q6AZZ1	Homo sapiens	Metazoa	485	None	None
Q6B8I1	Homo sapiens	Metazoa	188	None	None
Q6BCY4	Homo sapiens	Metazoa	276	None	None
Q6BDS2	Homo sapiens	Metazoa	1440	None	None
Q6DN14	Homo sapiens	Metazoa	999	None	None
Q6FIF0	Homo sapiens	Metazoa	208	None	None
Q6IA69	Homo sapiens	Metazoa	706	None	None
Q6IN85	Homo sapiens	Metazoa	833	None	None
Q6IQ16	Homo sapiens	Metazoa	392	None	None
Q6ISB3	Homo sapiens	Metazoa	625	None	None
Q6J9G0	Homo sapiens	Metazoa	422	None	None
Q6JBY9	Homo sapiens	Metazoa	416	None	None
Q6KB66	Homo sapiens	Metazoa	452	None	None
Q6L8H1	Homo sapiens	Metazoa	288	None	None
Q6L8H4	Homo sapiens	Metazoa	278	None	None
Q6NSJ5	Homo sapiens	Metazoa	796	None	None
Q6NT16	Homo sapiens	Metazoa	456	None	None
Q6NT55	Homo sapiens	Metazoa	531	None	None
Q6NTE8	Homo sapiens	Metazoa	343	None	None
Q6NUJ5	Homo sapiens	Metazoa	590	None	None
Q6NUK1	Homo sapiens	Metazoa	477	None	None
Q6NWY9	Homo sapiens	Metazoa	871	None	None
Q6NX45	Homo sapiens	Metazoa	483	None	None
Q6NXR0	Homo sapiens	Metazoa	463	None	None
Q6P050	Homo sapiens	Metazoa	247	None	None
Q6P1L5	Homo sapiens	Metazoa	589	None	None
Q6P1M3	Homo sapiens	Metazoa	1020	None	None
Q6P1Q9	Homo sapiens	Metazoa	378	None	None
Q6P2E9	Homo sapiens	Metazoa	1401	None	None
Q6P3W7	Homo sapiens	Metazoa	929	None	None
Q6P4I2	Homo sapiens	Metazoa	378	None	None
Q6P5S7	Homo sapiens	Metazoa	137	None	None
Q6P6C2	Homo sapiens	Metazoa	394	None	None
Q6P9F5	Homo sapiens	Metazoa	258	None	None
Q6P9H4	Homo sapiens	Metazoa	555	None	None
Q6PD62	Homo sapiens	Metazoa	1173	None	None
Q6PF05	Homo sapiens	Metazoa	361	None	None
Q6PHR2	Homo sapiens	Metazoa	472	None	None
Q6PI48	Homo sapiens	Metazoa	645	None	None
Q6PI78	Homo sapiens	Metazoa	240	None	None
Q6PJ21	Homo sapiens	Metazoa	355	None	None
Q6PJ61	Homo sapiens	Metazoa	603	None	None
Q6PL24	Homo sapiens	Metazoa	325	None	None
Q6PRD7	Homo sapiens	Metazoa	247	None	None
Q6PXP3	Homo sapiens	Metazoa	512	None	None
Q6QHF9	Homo sapiens	Metazoa	511	None	None
Q6QNY1	Homo sapiens	Metazoa	142	None	None
Q6RFH5	Homo sapiens	Metazoa	385	None	None
Q6RW13	Homo sapiens	Metazoa	159	None	None
Q6S8J3	Homo sapiens	Metazoa	1075	None	None
Q6T4R5	Homo sapiens	Metazoa	1651	None	None
Q6UB99	Homo sapiens	Metazoa	2663	None	None
Q6UN15	Homo sapiens	Metazoa	594	None	None
Q6UUV7	Homo sapiens	Metazoa	619	None	None
Q6UVM3	Homo sapiens	Metazoa	1135	None	None
Q6UW68	Homo sapiens	Metazoa	189	None	None
Q6UX98	Homo sapiens	Metazoa	284	None	None
