Accession	Organism	Kingdom	Sequence length	N-term transmembrane
Q9HAF1	Homo sapiens	Metazoa	191	False
Q93015	Homo sapiens	Metazoa	286	False
Q9XZ34	Drosophila melanogaster	Metazoa	1416	False
Q99569	Homo sapiens	Metazoa	1192	False
O80952	Arabidopsis thaliana	Viridiplantae	296	False
Q9BY27	Homo sapiens	Metazoa	220	False
P38737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1868	False
Q54LT0	Dictyostelium discoideum	Other	275	False
Q9S713	Arabidopsis thaliana	Viridiplantae	562	False
O04249	Arabidopsis thaliana	Viridiplantae	513	False
Q8R4P5	Mus musculus	Metazoa	757	False
Q969T9	Homo sapiens	Metazoa	261	False
Q9U7C9	Dictyostelium discoideum	Other	756	False
Q12275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1648	False
B9DHT4	Arabidopsis thaliana	Viridiplantae	710	False
Q86UA6	Homo sapiens	Metazoa	219	False
A0A2Z5GDY5	Lotus japonicus	Viridiplantae	658	False
O97297	Plasmodium falciparum (isolate 3D7)	Other	404	False
P32505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	525	False
P25042	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	368	False
Q6ASS9	Oryza sativa subsp. japonica	Viridiplantae	123	False
Q6UB98	Homo sapiens	Metazoa	2062	False
Q9FJN9	Arabidopsis thaliana	Viridiplantae	220	False
Q9C8J7	Arabidopsis thaliana	Viridiplantae	509	False
Q949T8	Arabidopsis thaliana	Viridiplantae	497	False
D4A2Y9	Rattus norvegicus	Metazoa	403	False
P08153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	709	False
P36534	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297	False
P29590	Homo sapiens	Metazoa	882	False
P53068	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250	False
Q08282	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	695	False
Q8K339	Mus musculus	Metazoa	391	False
P0C2C1	Rattus norvegicus	Metazoa	160	False
K4CF70	Solanum lycopersicum	Viridiplantae	476	False
Q9HCN4	Homo sapiens	Metazoa	374	False
Q9VW27	Drosophila melanogaster	Metazoa	717	False
O93956	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	549	True
Q93YW0	Arabidopsis thaliana	Viridiplantae	684	False
O13848	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	284	False
Q8C9B9	Mus musculus	Metazoa	2256	False
Q09814	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	239	False
P40968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455	False
Q14249	Homo sapiens	Metazoa	297	False
Q04847	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	553	False
P46947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266	False
Q9P797	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1142	False
Q6P0N0	Homo sapiens	Metazoa	1132	False
O82743	Arabidopsis thaliana	Viridiplantae	219	False
Q7Z602	Homo sapiens	Metazoa	305	False
P56347	Chlorella vulgaris	Viridiplantae	161	False
O70258	Mus musculus	Metazoa	437	False
P43606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	678	False
B9DFX7	Arabidopsis thaliana	Viridiplantae	883	False
Q9BSJ6	Homo sapiens	Metazoa	248	False
O74740	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	797	False
O23403	Arabidopsis thaliana	Viridiplantae	287	False
P39013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	349	False
Q9FN69	Arabidopsis thaliana	Viridiplantae	637	False
Q8GXN9	Arabidopsis thaliana	Viridiplantae	930	False
O94522	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	390	False
Q6UN15	Homo sapiens	Metazoa	594	False
Q6P4Q7	Homo sapiens	Metazoa	775	False
O23077	Arabidopsis thaliana	Viridiplantae	319	False
O74478	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	587	False
P78527	Homo sapiens	Metazoa	4128	False
Q9QY93	Mus musculus	Metazoa	170	False
P46946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345	False
Q921N8	Mus musculus	Metazoa	327	False
P56778	Arabidopsis thaliana	Viridiplantae	473	True
O43030	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	287	False
W2SDE2	Cyphellophora europaea (strain CBS 101466)	Fungi	346	False
Q32NR9	Xenopus laevis	Metazoa	708	False
A0A1C3NSL9	Caenorhabditis elegans	Metazoa	1644	False
P42842	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	904	False
Q9BTP7	Homo sapiens	Metazoa	215	False
P53881	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	309	False
Q9VFK6	Drosophila melanogaster	Metazoa	691	False
P40848	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	991	False
Q5A287	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	805	False
Q54ET6	Dictyostelium discoideum	Other	2364	False
Q16611	Homo sapiens	Metazoa	211	False
Q9EPA0	Rattus norvegicus	Metazoa	957	False
Q969Z0	Homo sapiens	Metazoa	631	False
Q9Y6X4	Homo sapiens	Metazoa	670	False
P82244	Spinacia oleracea	Viridiplantae	152	False
Q12050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	791	False
Q08760	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	435	False
O80683	Arabidopsis thaliana	Viridiplantae	238	False
P29461	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	750	False
Q9LZB8	Arabidopsis thaliana	Viridiplantae	634	True
P04197	Drosophila melanogaster	Metazoa	657	False
P13405	Mus musculus	Metazoa	921	False
O60674	Homo sapiens	Metazoa	1132	False
P52923	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	378	True
Q8R4L0	Mus musculus	Metazoa	259	False
Q80UF9	Mus musculus	Metazoa	577	False
Q05958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	814	False
Q09LZ8	Mus musculus	Metazoa	540	False
P53153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274	True
Q8C5S7	Mus musculus	Metazoa	591	False
Q12107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265	False
Q9BQ95	Homo sapiens	Metazoa	431	False
Q9LPL4	Arabidopsis thaliana	Viridiplantae	360	False
P19476	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	233	False
Q60949	Mus musculus	Metazoa	1255	False
P87310	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	144	False
Q9FNH6	Arabidopsis thaliana	Viridiplantae	231	True
P15720	Gallus gallus	Metazoa	174	False
Q8IYT2	Homo sapiens	Metazoa	770	False
P28040	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1405	False
Q9P6R0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	492	False
Q9BRV3	Homo sapiens	Metazoa	221	False
P53061	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	704	False
O13859	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	285	False
Q7S2C2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	119	False
Q08058	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	207	False
Q9BT78	Homo sapiens	Metazoa	406	False
Q9Y6G5	Homo sapiens	Metazoa	202	False
Q06494	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345	False
Q3T040	Bos taurus	Metazoa	242	False
P15313	Homo sapiens	Metazoa	513	False
C0HLU2	Homo sapiens	Metazoa	46	False
O82628	Arabidopsis thaliana	Viridiplantae	110	False
Q9JI99	Mus musculus	Metazoa	430	False
Q9Y7L4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	409	False
Q01359	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	148	False
Q08923	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	506	False
P38398	Homo sapiens	Metazoa	1863	False
P43244	Rattus norvegicus	Metazoa	845	False
Q86U28	Homo sapiens	Metazoa	154	False
Q16773	Homo sapiens	Metazoa	422	False
Q99N89	Mus musculus	Metazoa	183	False
Q9NP98	Homo sapiens	Metazoa	299	False
Q5ND34	Mus musculus	Metazoa	1934	False
Q6YN16	Homo sapiens	Metazoa	418	False
Q9Y808	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1063	False
P15325	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	533	False
O22152	Arabidopsis thaliana	Viridiplantae	229	False
Q86TG7	Homo sapiens	Metazoa	708	False
Q08213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363	False
Q9W1H4	Drosophila melanogaster	Metazoa	747	False
Q10426	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1040	False
Q84XV2	Arabidopsis thaliana	Viridiplantae	386	False
Q9NS23	Homo sapiens	Metazoa	344	False
Q9Z2D6	Mus musculus	Metazoa	484	False
Q9SWI1	Arabidopsis thaliana	Viridiplantae	439	False
Q53JF7	Oryza sativa subsp. japonica	Viridiplantae	138	False
Q5YDB5	Arabidopsis thaliana	Viridiplantae	770	False
Q9BRT2	Homo sapiens	Metazoa	126	False
J9VI03	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	2377	False
O88457	Rattus norvegicus	Metazoa	1765	False
Q14676	Homo sapiens	Metazoa	2089	False
Q96CM3	Homo sapiens	Metazoa	377	False
Q96ST8	Homo sapiens	Metazoa	783	False
Q9VPT4	Drosophila melanogaster	Metazoa	717	False
Q8TD16	Homo sapiens	Metazoa	824	False
Q6B860	Bos taurus	Metazoa	128	False
Q8N9N2	Homo sapiens	Metazoa	400	False
P40917	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295	False
Q7Z3E1	Homo sapiens	Metazoa	657	False
P81900	Drosophila melanogaster	Metazoa	377	False
P52435	Homo sapiens	Metazoa	117	False
Q9H4B6	Homo sapiens	Metazoa	383	False
O74986	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	294	False
P49686	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	False
Q96CW1	Homo sapiens	Metazoa	435	False
Q9BUH6	Homo sapiens	Metazoa	204	False
Q9Y4P9	Homo sapiens	Metazoa	236	False
Q8N4H5	Homo sapiens	Metazoa	51	True
Q9NTI7	Homo sapiens	Metazoa	297	False
Q06608	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	200	False
Q9ESX4	Mus musculus	Metazoa	241	False
O74311	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	150	False
Q9VGE2	Drosophila melanogaster	Metazoa	384	False
Q60864	Mus musculus	Metazoa	543	False
Q93WE4	Arabidopsis thaliana	Viridiplantae	216	False
P40457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1679	False
Q9SIV5	Arabidopsis thaliana	Viridiplantae	1773	False
Q7TNT2	Mus musculus	Metazoa	515	False
Q9D494	Mus musculus	Metazoa	218	False
P40554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99	False
Q0WMY5	Arabidopsis thaliana	Viridiplantae	952	False
Q8GTR4	Arabidopsis thaliana	Viridiplantae	965	False
Q12178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	158	False
Q9S814	Arabidopsis thaliana	Viridiplantae	1294	True
Q9USQ4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	396	False
Q15637	Homo sapiens	Metazoa	639	False
D3U717	Petunia hybrida	Viridiplantae	434	False
P15873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258	False
P47057	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	423	False
Q9W4S7	Drosophila melanogaster	Metazoa	717	False
Q14CZ7	Homo sapiens	Metazoa	662	False
P0DXC1	Homo sapiens	Metazoa	130	False
A0A286YD83	Mus musculus	Metazoa	63	True
P09364	Sinapis alba	Viridiplantae	502	False
P43586	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	204	False
Q9UTI3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	177	False
O94829	Homo sapiens	Metazoa	963	False
Q9CQT6	Mus musculus	Metazoa	229	False
Q6A037	Mus musculus	Metazoa	893	False
P22315	Mus musculus	Metazoa	422	False
Q6QJ72	Arabidopsis thaliana	Viridiplantae	187	False
Q6U6G5	Rattus norvegicus	Metazoa	426	False
P25398	Homo sapiens	Metazoa	132	False
P53203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	462	False
F4J7T2	Arabidopsis thaliana	Viridiplantae	1907	False
O74485	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	581	False
Q06116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2489	True
P53241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	593	False
O75616	Homo sapiens	Metazoa	437	False
Q8NDZ0	Homo sapiens	Metazoa	799	False
Q8K585	Rattus norvegicus	Metazoa	107	False
P35639	Mus musculus	Metazoa	168	False
O76329	Dictyostelium discoideum	Other	1738	False
Q22663	Caenorhabditis elegans	Metazoa	183	False
Q9LFQ9	Arabidopsis thaliana	Viridiplantae	359	False
P55199	Homo sapiens	Metazoa	621	False
P31942	Homo sapiens	Metazoa	346	False
Q8TC26	Homo sapiens	Metazoa	289	True
P08703	Penicillium chrysogenum	Fungi	331	False
Q9USP9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	589	False
Q96GE9	Homo sapiens	Metazoa	116	True
P34234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	306	False
P53220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	True
Q6UWF3	Homo sapiens	Metazoa	145	True
Q8IH18	Drosophila melanogaster	Metazoa	1010	False
Q04749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	426	False
O13539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	261	False
Q84N48	Zea mays	Viridiplantae	611	False
Q0GGX2	Mus musculus	Metazoa	1363	False
O75586	Homo sapiens	Metazoa	246	False
P25801	Mus musculus	Metazoa	158	False
Q9BZR8	Homo sapiens	Metazoa	327	False
P14907	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	823	False
O08901	Mus musculus	Metazoa	1058	False
P13002	Drosophila melanogaster	Metazoa	1333	False
P12689	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	985	False
P25379	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360	False
O75081	Homo sapiens	Metazoa	653	False
B9U3F2	Gallus gallus	Metazoa	1338	True
Q9WTQ8	Mus musculus	Metazoa	209	True
P18847	Homo sapiens	Metazoa	181	False
P18888	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	332	False
Q9NYG5	Homo sapiens	Metazoa	84	False
A0A1D9BZF0	Mus musculus	Metazoa	507	False
Q7L2Z9	Homo sapiens	Metazoa	268	False
P55212	Homo sapiens	Metazoa	293	False
Q9BSV6	Homo sapiens	Metazoa	310	False
Q69ZQ1	Mus musculus	Metazoa	716	False
Q9H4Q4	Homo sapiens	Metazoa	367	False
Q9XH37	Oryza sativa subsp. indica	Viridiplantae	277	False
Q9FFK6	Arabidopsis thaliana	Viridiplantae	810	False
P03925	Mus musculus	Metazoa	172	True
Q9NYH9	Homo sapiens	Metazoa	597	False
O95782	Homo sapiens	Metazoa	977	False
P42847	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	217	False
Q8BMD2	Mus musculus	Metazoa	852	False
A8CVF3	Avicennia marina	Viridiplantae	195	False
P90994	Caenorhabditis elegans	Metazoa	187	False
P55081	Homo sapiens	Metazoa	439	False
Q8VEK3	Mus musculus	Metazoa	800	False
Q8IRH5	Drosophila melanogaster	Metazoa	733	False
Q9GZS3	Homo sapiens	Metazoa	305	False
Q16206	Homo sapiens	Metazoa	610	False
Q7L5D6	Homo sapiens	Metazoa	327	False
A6YSL1	Zea mays	Viridiplantae	525	False
Q9V444	Drosophila melanogaster	Metazoa	128	False
Q8CJ27	Mus musculus	Metazoa	3122	False
Q9UI30	Homo sapiens	Metazoa	125	False
Q03214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1411	False
Q8WXB4	Homo sapiens	Metazoa	792	False
Q10331	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	813	False
P63242	Mus musculus	Metazoa	154	False
P20659	Drosophila melanogaster	Metazoa	3726	False
Q16514	Homo sapiens	Metazoa	161	False
Q09808	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	152	False
Q9M7J4	Nicotiana tabacum	Viridiplantae	722	False
Q9UJU6	Homo sapiens	Metazoa	430	False
Q8RY95	Arabidopsis thaliana	Viridiplantae	1035	False
P62806	Mus musculus	Metazoa	103	False
Q9LD83	Arabidopsis thaliana	Viridiplantae	556	False
Q03071	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99	False
Q69ZF8	Mus musculus	Metazoa	577	False
P37271	Arabidopsis thaliana	Viridiplantae	422	False
Q1K5R0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	108	False
O15164	Homo sapiens	Metazoa	1050	False
Q9FFA7	Arabidopsis thaliana	Viridiplantae	368	False
Q8TAE8	Homo sapiens	Metazoa	222	False
Q96P70	Homo sapiens	Metazoa	1041	False
Q12305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	139	False
Q99314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	248	False
Q8K0U3	Mus musculus	Metazoa	198	True
Q8K459	Mus musculus	Metazoa	51	False
Q8VY15	Arabidopsis thaliana	Viridiplantae	899	False
Q3HNG7	Bos taurus	Metazoa	343	False
Q03385	Mus musculus	Metazoa	852	False
Q9URV3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	296	False
Q9WTW1	Rattus norvegicus	Metazoa	1043	False
Q9NRY6	Homo sapiens	Metazoa	295	False
F4HRV8	Arabidopsis thaliana	Viridiplantae	596	False
Q86YH6	Homo sapiens	Metazoa	399	False
Q9BUB7	Homo sapiens	Metazoa	260	False
O14862	Homo sapiens	Metazoa	343	False
P07978	Mus musculus	Metazoa	107	False
P42935	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	788	False
Q91836	Xenopus laevis	Metazoa	298	False
Q9VR38	Drosophila melanogaster	Metazoa	528	False
Q06089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161	True
P40470	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	206	False
Q32065	Chlamydomonas reinhardtii	Viridiplantae	2971	False
Q08176	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113	True
Q02759	Rattus norvegicus	Metazoa	663	False
Q9UIL1	Homo sapiens	Metazoa	159	False
P47002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	699	False
Q6DYE8	Mus musculus	Metazoa	874	False
Q96NR3	Homo sapiens	Metazoa	888	True
A7UL74	Arabidopsis thaliana	Viridiplantae	345	False
P21228	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	821	False
Q3MIT2	Homo sapiens	Metazoa	529	False
O08759	Mus musculus	Metazoa	870	False
P10795	Arabidopsis thaliana	Viridiplantae	180	False
Q9VMD6	Drosophila melanogaster	Metazoa	659	False
Q20733	Caenorhabditis elegans	Metazoa	900	False
Q96A26	Homo sapiens	Metazoa	154	False
Q96GJ1	Homo sapiens	Metazoa	504	False
Q9UUI6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466	False
Q9Y2B4	Homo sapiens	Metazoa	290	False
P04271	Homo sapiens	Metazoa	92	False
P40477	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1460	False
O94650	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	73	False
Q8C886	Mus musculus	Metazoa	610	False
Q9D1E5	Mus musculus	Metazoa	489	True
P53083	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	459	False
Q24400	Drosophila melanogaster	Metazoa	495	False
P03903	Mus musculus	Metazoa	98	True
Q9LD43	Arabidopsis thaliana	Viridiplantae	769	False
P17540	Homo sapiens	Metazoa	419	False
Q99K90	Mus musculus	Metazoa	693	False
Q3TLD5	Mus musculus	Metazoa	531	False
Q96HS1	Homo sapiens	Metazoa	289	True
Q9ULP9	Homo sapiens	Metazoa	559	False
Q9SZI6	Arabidopsis thaliana	Viridiplantae	352	False
O14235	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	348	False
Q06339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	672	False
Q7L5N1	Homo sapiens	Metazoa	327	False
O14146	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	159	False
Q94FY8	Zea mays	Viridiplantae	474	False
O81836	Arabidopsis thaliana	Viridiplantae	314	False
Q09094	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	180	False
Q69YI7	Homo sapiens	Metazoa	327	False
Q96SB3	Homo sapiens	Metazoa	817	False
Q7TMR7	Rattus norvegicus	Metazoa	522	True
Q9SE83	Arabidopsis thaliana	Viridiplantae	914	False
Q9M3B8	Arabidopsis thaliana	Viridiplantae	597	False
Q9VHB0	Drosophila melanogaster	Metazoa	874	False
Q9M2Z2	Arabidopsis thaliana	Viridiplantae	317	False
Q9BY41	Homo sapiens	Metazoa	377	False
Q05519	Homo sapiens	Metazoa	484	False
Q6PI77	Homo sapiens	Metazoa	547	False
Q9BW66	Homo sapiens	Metazoa	212	False
Q8WXX5	Homo sapiens	Metazoa	260	False
Q09858	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	205	False
Q9HBM1	Homo sapiens	Metazoa	224	False
P53081	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288	False
Q99188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	309	False
Q9Y817	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1297	False
P47096	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177	False
Q9P7M1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	491	False
Q6IDB6	Arabidopsis thaliana	Viridiplantae	182	False
Q8N4Q1	Homo sapiens	Metazoa	142	False
Q9SMX1	Arabidopsis thaliana	Viridiplantae	571	False
Q6P2E9	Homo sapiens	Metazoa	1401	False
Q07053	Crithidia fasciculata	Other	128	False
P61793	Mus musculus	Metazoa	364	False
Q8W4I6	Arabidopsis thaliana	Viridiplantae	660	False
Q709R6	Drosophila melanogaster	Metazoa	399	False
Q75WB5	Bos taurus	Metazoa	1288	False
P62857	Homo sapiens	Metazoa	69	False
Q63425	Rattus norvegicus	Metazoa	1383	False
O42649	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1194	False
Q9BYD2	Homo sapiens	Metazoa	267	False
Q9FVU9	Arabidopsis thaliana	Viridiplantae	358	False
Q8L7S5	Arabidopsis thaliana	Viridiplantae	642	False
Q9ES56	Mus musculus	Metazoa	219	False
Q9VHJ6	Drosophila melanogaster	Metazoa	592	False
Q9SZR3	Arabidopsis thaliana	Viridiplantae	1017	False
Q86XA0	Homo sapiens	Metazoa	190	False
P53885	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366	False
Q16891	Homo sapiens	Metazoa	758	True
F4HS99	Arabidopsis thaliana	Viridiplantae	1797	False
G5EDE2	Caenorhabditis elegans	Metazoa	175	False
Q9Z0S4	Mus musculus	Metazoa	211	True
Q12338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	110	False
P48412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387	False
Q8NHU3	Homo sapiens	Metazoa	365	True
P36130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	643	False
Q6P756	Rattus norvegicus	Metazoa	263	False
Q9JI13	Mus musculus	Metazoa	469	False
Q24134	Drosophila melanogaster	Metazoa	578	False
Q9LES2	Arabidopsis thaliana	Viridiplantae	478	False
Q8RXD3	Arabidopsis thaliana	Viridiplantae	310	False
Q8VZE7	Arabidopsis thaliana	Viridiplantae	671	False
Q9W0K4	Drosophila melanogaster	Metazoa	1067	False
P0CB49	Rattus norvegicus	Metazoa	1376	False
P25632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483	False
P25555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	427	False
P53552	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1597	False
Q8IXM6	Homo sapiens	Metazoa	262	True
Q84WV6	Arabidopsis thaliana	Viridiplantae	635	False
Q8NHG8	Homo sapiens	Metazoa	242	False
Q04031	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235	False
P53895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	289	False
Q9CPP6	Mus musculus	Metazoa	116	False
P40155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	199	False
P18289	Drosophila melanogaster	Metazoa	289	False
Q9W2H9	Drosophila melanogaster	Metazoa	541	False
Q9ZUT3	Arabidopsis thaliana	Viridiplantae	273	True
Q9BSH4	Homo sapiens	Metazoa	297	False
P49906	Drosophila melanogaster	Metazoa	196	False
Q7Z7A4	Homo sapiens	Metazoa	578	False
Q6K678	Oryza sativa subsp. japonica	Viridiplantae	210	False
Q9H3K2	Homo sapiens	Metazoa	345	True
Q9LTT3	Arabidopsis thaliana	Viridiplantae	319	False
Q9GSF8	Euplotes aediculatus	Other	437	False
Q08215	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	383	False
Q9Y3C5	Homo sapiens	Metazoa	154	False
P55160	Homo sapiens	Metazoa	1127	False
Q96IR7	Homo sapiens	Metazoa	371	False
Q4WJ81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	754	False
Q587E3	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	735	False
Q9C0U3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	109	False
F8VPN2	Mus musculus	Metazoa	2785	False
Q9LK34	Arabidopsis thaliana	Viridiplantae	483	False
P53072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	289	False
Q00757	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	916	False
Q9C7G6	Arabidopsis thaliana	Viridiplantae	256	False
Q9LLC1	Arabidopsis thaliana	Viridiplantae	255	False
O94875	Homo sapiens	Metazoa	1100	False
Q99417	Homo sapiens	Metazoa	103	False
Q96CB8	Homo sapiens	Metazoa	462	False
